"ParticipantNum","density","NumAgents","FollowPercentage"
45,"HighDensity",1,53.3333333333333
46,"HighDensity",1,55.1724137931034
47,"HighDensity",1,42.4242424242424
48,"HighDensity",1,45.7142857142857
49,"HighDensity",1,73.0769230769231
50,"HighDensity",1,40
51,"HighDensity",1,56.5217391304348
52,"HighDensity",1,54.1666666666667
53,"HighDensity",1,81.8181818181818
54,"HighDensity",1,42.3076923076923
55,"HighDensity",1,50
56,"HighDensity",1,37.037037037037
57,"HighDensity",1,47.3684210526316
58,"HighDensity",1,50
59,"HighDensity",1,52.9411764705882
60,"HighDensity",1,30.5555555555556
61,"HighDensity",1,50
62,"HighDensity",1,56.6666666666667
63,"HighDensity",1,45.8333333333333
64,"HighDensity",1,47.3684210526316
65,"HighDensity",1,58.974358974359
66,"HighDensity",1,79.4117647058823
67,"HighDensity",1,35.2941176470588
68,"HighDensity",1,56.6666666666667
69,"HighDensity",1,33.3333333333333
70,"HighDensity",1,55.8823529411765
71,"HighDensity",1,44.1176470588235
72,"HighDensity",1,63.3333333333333
73,"HighDensity",1,48.7179487179487
74,"HighDensity",1,45.945945945946
75,"HighDensity",1,61.2903225806452
76,"HighDensity",1,42.4242424242424
77,"HighDensity",1,66.6666666666667
78,"HighDensity",1,61.9047619047619
79,"HighDensity",1,58.6206896551724
80,"HighDensity",1,39.3939393939394
81,"HighDensity",1,54.8387096774194
82,"HighDensity",1,46.875
83,"HighDensity",1,50
84,"HighDensity",1,69.4444444444444
85,"HighDensity",1,43.75
86,"HighDensity",1,72.4137931034483
87,"HighDensity",1,82.6086956521739
88,"HighDensity",1,45.8333333333333
89,"HighDensity",1,40
90,"HighDensity",1,51.3513513513513
91,"HighDensity",1,59.5238095238095
92,"HighDensity",1,60.6060606060606
93,"HighDensity",1,56.5217391304348
94,"HighDensity",1,57.1428571428571
95,"HighDensity",1,55.5555555555556
96,"HighDensity",1,45.1612903225806
97,"HighDensity",1,53.5714285714286
98,"HighDensity",1,90.3225806451613
99,"HighDensity",1,44.4444444444444
100,"HighDensity",1,58.6206896551724
101,"HighDensity",1,74.1935483870968
102,"HighDensity",1,63.3333333333333
103,"HighDensity",1,52.7777777777778
104,"HighDensity",1,59.375
105,"HighDensity",1,45.7142857142857
106,"HighDensity",1,57.1428571428571
107,"HighDensity",1,60.5263157894737
108,"HighDensity",1,45.7142857142857
109,"HighDensity",1,66.6666666666667
110,"HighDensity",1,52.3809523809524
111,"HighDensity",1,48
112,"HighDensity",1,38.2352941176471
113,"HighDensity",1,55.1724137931034
114,"HighDensity",1,38.4615384615385
115,"HighDensity",1,55.8823529411765
116,"HighDensity",1,46.4285714285714
117,"HighDensity",1,40
118,"HighDensity",1,51.4285714285714
119,"HighDensity",1,61.2903225806452
120,"HighDensity",1,73.9130434782609
121,"HighDensity",1,42.8571428571429
122,"HighDensity",1,38.7096774193548
123,"HighDensity",1,56.4102564102564
124,"HighDensity",1,60
