"ParticipantNum","groupSize","NumAgents","FollowPercentage"
48,"LargeGroup",1,62.7906976744186
49,"LargeGroup",1,53.125
50,"LargeGroup",1,64.2857142857143
51,"LargeGroup",1,37.5
52,"LargeGroup",1,90.3225806451613
53,"LargeGroup",1,77.7777777777778
54,"LargeGroup",1,46.875
55,"LargeGroup",1,62.962962962963
56,"LargeGroup",1,59.5238095238095
57,"LargeGroup",1,39.2857142857143
58,"LargeGroup",1,69.6969696969697
59,"LargeGroup",1,52.9411764705882
60,"LargeGroup",1,57.8947368421053
61,"LargeGroup",1,69.6969696969697
62,"LargeGroup",1,47.0588235294118
63,"LargeGroup",1,58.0645161290323
64,"LargeGroup",1,65.5172413793103
65,"LargeGroup",1,50
66,"LargeGroup",1,55.8139534883721
67,"LargeGroup",1,66.6666666666667
68,"LargeGroup",1,70.3703703703704
69,"LargeGroup",1,51.8518518518518
70,"LargeGroup",1,42.3076923076923
71,"LargeGroup",1,58.6206896551724
72,"LargeGroup",1,52.5
73,"LargeGroup",1,66.6666666666667
74,"LargeGroup",1,67.5
75,"LargeGroup",1,43.3333333333333
76,"LargeGroup",1,70.9677419354839
77,"LargeGroup",1,96.6666666666667
78,"LargeGroup",1,86.9565217391304
79,"LargeGroup",1,35.4838709677419
80,"LargeGroup",1,46.875
81,"LargeGroup",1,45.8333333333333
82,"LargeGroup",1,57.5757575757576
83,"LargeGroup",1,100
84,"LargeGroup",1,44.1176470588235
85,"LargeGroup",1,67.741935483871
86,"LargeGroup",1,24.1379310344828
87,"LargeGroup",1,76.1904761904762
88,"LargeGroup",1,45.4545454545455
89,"LargeGroup",1,60.8695652173913
90,"LargeGroup",1,60
91,"LargeGroup",1,46.4285714285714
92,"LargeGroup",1,54.2857142857143
93,"LargeGroup",1,51.7241379310345
94,"LargeGroup",1,52.3809523809524
95,"LargeGroup",1,52.1739130434783
96,"LargeGroup",1,52
97,"LargeGroup",1,56.7567567567568
98,"LargeGroup",1,79.3103448275862
99,"LargeGroup",1,80.9523809523809
100,"LargeGroup",1,54.8387096774194
101,"LargeGroup",1,54.7619047619048
102,"LargeGroup",1,72.7272727272727
103,"LargeGroup",1,23.5294117647059
104,"LargeGroup",1,48.4848484848485
105,"LargeGroup",1,46.4285714285714
106,"LargeGroup",1,40.625
107,"LargeGroup",1,50
108,"LargeGroup",1,70.5882352941177
109,"LargeGroup",1,37.5
110,"LargeGroup",1,50
111,"LargeGroup",1,46.6666666666667
112,"LargeGroup",1,47.8260869565217
113,"LargeGroup",1,44.1176470588235
114,"LargeGroup",1,41.9354838709677
115,"LargeGroup",1,55.5555555555556
116,"LargeGroup",1,54.1666666666667
117,"LargeGroup",1,94.4444444444444
118,"LargeGroup",1,32.5581395348837
119,"LargeGroup",1,50
120,"LargeGroup",1,50
